Zimmerzahl, Stockwerk, Heizung, Hausmeister, Kindergarten, Schule, S-Bahn, Garage, Miete, Nebenkosten, Alter, Aufzug, Lage, Entfernung, Kaution, Küche, Bad, Balkon, Terrasse, Kehrwoche, Möbliert, Quadratmeter, Teacher
Ein Zimmer, 8.Stock, Lüftungsheizung, ja, erreichbar, erreichbar, erreichbar, nein, 201-250, unter 50, Neubau, ja, Abgelegen, 21-30 km, keine, Küche (alt), Dusche + Wanne, ja, nein, nein, ja, 20-30, ja, 
Ein Zimmer, 10.Stock, Öl, nein, nah, nah, mit Bus, ja, 351-400, 50-100, 31-50 Jahre, ja, Nebenstrasse, Zentrum, 1000-1500, Küche (neu), Dusche + Wanne, nein, ja, nein, ja, über 120, nein, 
4-5 Zimmer, 1.Stock, Gas-Zentral, ja, nah, nah, nein, nein, 251-300, 50-100, 51-75 Jahre, ja, Abgelegen, 3-5 km, 2500-3000, Küche (alt), Badewanne, nein, ja, nein, ja, 20-30, nein, 
5 Zimmer, EG, Lüftungsheizung, ja, erreichbar, nah, nah, ja, 301-350, 201-250, 1-3 Jahre, ja, Nebenstrasse, < 3 km, 1000-1500, Küche (neu), Dusche, nein, ja, nein, teilmöbliert, 20-30, nein, 
Zwei Zimmer, 2.Stock, Erdwärme, ja, erreichbar, erreichbar, mit Bus, ja, 751-800, 251-300, 1-3 Jahre, nein, Abgelegen, 11-20 km, 1000-1500, Küche (alt), Badewanne, ja, nein, nein, ja, 51-60, nein, 
5-6 Zimmer, 6.Stock, Gas-Etage, ja, nah, erreichbar, mit Bus, nein, 951-1000, 50-100, 51-75 Jahre, nein, Hauptstrasse, Zentrum, bis 1000, Küche (alt), Dusche, ja, ja, ja, teilmöbliert, 61-70, nein, 
Ein Zimmer, 10.Stock, Lüftungsheizung, nein, fern, erreichbar, mit Bus, ja, 201-250, unter 50, Neubau, ja, Hauptstrasse, < 3 km, über 3000, Küche (neu), Dusche + Wanne, ja, ja, nein, nein, 91-100, ja, 
3-4 Zimmer, 5.Stock, Erdwärme, nein, nah, fern, erreichbar, nein, 351-400, unter 50, 7-10 Jahre, ja, Abgelegen, 3-5 km, bis 1000, Küche (neu), Waschbecken, nein, ja, ja, teilmöbliert, 111-120, nein, 
6 Zimmer, 4.Stock, Gas-Etage, ja, fern, erreichbar, mit Bus, ja, 751-800, 251-300, 16-20 Jahre, nein, Hauptstrasse, 21-30 km, 2000-2500, keine, Dusche, nein, ja, ja, teilmöbliert, 61-70, nein, 
4-5 Zimmer, 2.Stock, Lüftungsheizung, nein, fern, fern, mit Bus, ja, 851-900, unter 50, Neubau, ja, Hauptstrasse, 5-10 km, über 3000, Küche (neu), Dusche + Wanne, nein, ja, nein, teilmöbliert, 20-30, nein, 
